MonthYear,Ticker,Daily_Return
Mar-2024,ADANIPORTS,-3.746009085725782
Mar-2024,APOLLOHOSP,1.4026809911042453
Mar-2024,ASIANPAINT,-1.4724391445987888
Mar-2024,AXISBANK,-1.8345387072322759
Mar-2024,BAJAJ-AUTO,14.025522245498623
Mar-2024,BAJAJFINSV,2.478467339253303
Mar-2024,BAJFINANCE,7.4271944842384805
Mar-2024,BEL,-7.088642636526492
Mar-2024,BHARTIARTL,7.383254162323854
Mar-2024,BPCL,0.8927699674877558
Mar-2024,BRITANNIA,0.7219511763838439
Mar-2024,CIPLA,-2.947654792706314
Mar-2024,COALINDIA,-4.332757712082547
Mar-2024,DRREDDY,-6.180235500547301
Mar-2024,EICHERMOT,0.6733380723912652
Mar-2024,GRASIM,3.6702283225298626
Mar-2024,HCLTECH,-9.456197569382958
Mar-2024,HDFCBANK,6.642135692281256
Mar-2024,HDFCLIFE,4.522181504508136
Mar-2024,HEROMOTOCO,4.059072288047965
Mar-2024,HINDALCO,4.0711709685259745
Mar-2024,HINDUNILVR,-2.2826258489165303
Mar-2024,ICICIBANK,8.225752072239455
Mar-2024,INDUSINDBK,4.957441374221231
Mar-2024,INFY,-6.366870503198536
Mar-2024,ITC,-2.6510362549199926
Mar-2024,JSWSTEEL,1.5440674404699504
Mar-2024,KOTAKBANK,4.0681937344578545
Mar-2024,LT,6.50977553181486
Mar-2024,M&M,-1.3247126217224925
Mar-2024,MARUTI,10.579956729702841
Mar-2024,NESTLEIND,0.7687050659329437
Mar-2024,NTPC,-2.486253197653821
Mar-2024,ONGC,0.29054041646160145
Mar-2024,POWERGRID,1.3667804764782525
Mar-2024,RELIANCE,1.3319205382635237
Mar-2024,SBILIFE,-2.9668001055030393
Mar-2024,SBIN,-1.0893665661654641
Mar-2024,SHRIRAMFIN,-4.9539835946322155
Mar-2024,SUNPHARMA,-1.2512202123091956
Mar-2024,TATACONSUM,-10.47656843286611
Mar-2024,TATAMOTORS,-3.392821686473796
Mar-2024,TATASTEEL,4.4042085721169855
Mar-2024,TCS,-0.5629595521375849
Mar-2024,TECHM,-2.7221765035763617
Mar-2024,TITAN,4.280318487956626
Mar-2024,TRENT,-0.01876886893206864
Mar-2024,ULTRACEMCO,-3.01200955599634
Mar-2024,WIPRO,-7.976209929108978
May-2024,ADANIENT,4.925446885122914
May-2024,ADANIPORTS,0.5073876284572201
May-2024,APOLLOHOSP,-7.024184915037116
May-2024,ASIANPAINT,0.39961535306772744
May-2024,AXISBANK,0.9797121622024384
May-2024,BAJAJ-AUTO,-2.6421471650275086
May-2024,BAJAJFINSV,-8.80853359388429
May-2024,BAJFINANCE,-13.080639157587658
May-2024,BEL,2.3415508627933903
May-2024,BHARTIARTL,2.549144070034389
May-2024,BPCL,-12.623612972862249
May-2024,BRITANNIA,7.778935463488342
May-2024,CIPLA,-4.01272577260586
May-2024,COALINDIA,1.1651032374254662
May-2024,DRREDDY,-9.42898082469002
May-2024,EICHERMOT,5.238608875685798
May-2024,GRASIM,-6.676692268650247
May-2024,HCLTECH,-5.156440536187979
May-2024,HDFCBANK,5.514092979612714
May-2024,HDFCLIFE,-10.813125411484355
May-2024,HEROMOTOCO,6.428094973539889
May-2024,HINDALCO,-4.649612648210958
May-2024,HINDUNILVR,5.345073942290317
May-2024,ICICIBANK,-0.7014271565501953
May-2024,INDUSINDBK,-7.399474211690212
May-2024,INFY,0.8014614172255241
May-2024,ITC,-5.012657040287821
May-2024,JSWSTEEL,1.0370051660532955
May-2024,KOTAKBANK,0.3769136453108779
May-2024,LT,5.393563229432283
May-2024,M&M,10.706164917815862
May-2024,MARUTI,-3.2568837107985615
May-2024,NESTLEIND,-7.9110343199995645
May-2024,NTPC,-7.944227649355532
May-2024,ONGC,-17.18276677796259
May-2024,POWERGRID,6.428436509577093
May-2024,RELIANCE,-0.4932931849795407
May-2024,SBILIFE,-5.4828351950192715
May-2024,SBIN,-5.461744715171991
May-2024,SHRIRAMFIN,-13.545719215819034
May-2024,SUNPHARMA,-3.9160222994403187
May-2024,TATACONSUM,-4.7441367418687825
May-2024,TATAMOTORS,-11.841428058946722
May-2024,TATASTEEL,-5.334983425754345
May-2024,TCS,-3.5044053447539936
May-2024,TECHM,-5.446153338567815
May-2024,TITAN,-13.378104045469327
May-2024,TRENT,-4.305738425434689
May-2024,ULTRACEMCO,-4.752907174455221
May-2024,WIPRO,-8.099887708823358
Nov-2023,ADANIENT,-10.426941036301216
Nov-2023,ADANIPORTS,-5.195619733953922
Nov-2023,APOLLOHOSP,10.640637608637048
Nov-2023,ASIANPAINT,-0.9019501826195027
Nov-2023,AXISBANK,6.162085230444811
Nov-2023,BAJAJ-AUTO,7.850835190974456
Nov-2023,BAJAJFINSV,3.179056513899579
